"year","Nsamples","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Country","am"
2006,632,0.00433039212220022,0.0370579089290348,0.136145266075075,0.0200189644617833,0.0984490308281379,0.0562511923077833,0.565251370513157,0.0393063338099667,0.0102998705921522,0.015392012251276,0.00678011466362334,0.00469759334792007,0.0037433115716979,0.000768905269903223,0.00150773325628925,"USA",6.12753550048393
2007,592,0.00963015414223294,0.144510034511687,0.0467347165530855,0.17686650664228,0.0145853790302767,0.0719799812182106,0.0370959283518786,0.419015097425691,0.0375733626299039,0.0160872316508072,0.0144748417459639,0.00649390904013344,0.00232902868894242,0.000825938436077379,0.00179788993282895,"USA",6.06791106764149
2008,743,0.0093001606772408,0.105373166560647,0.35997843763836,0.025171456414835,0.157167541132849,0.0106846267852035,0.0369619735145204,0.0322053479274203,0.229138099302691,0.0172018475991496,0.00638360324650272,0.00546869069514384,0.0014528722337889,0.00212943755896088,0.00138273871268761,"USA",5.20653553609342
2009,659,0.00877377623972317,0.00582610640546896,0.360670554548912,0.308785042878046,0.0276273129875919,0.0943588996341019,0.00781797783026725,0.021865437755306,0.0152940747508007,0.12128822349324,0.0147507918515461,0.00415111340026805,0.00499277760256395,0.00183062182179884,0.00196728880036456,"USA",4.95416225901029
2010,849,0.00033892640194918,0.300678316923071,0.036432187883787,0.385118846247325,0.190454596637122,0.0142398796427034,0.0214733014761232,0.00192824648578827,0.00419464009088541,0.00740180250580369,0.0302739182412855,0.00485566324771107,0.000648017445795628,0.000660982289804977,0.00130067448084491,"USA",3.99515779371772
2011,1068,0.0315950438863169,0.101787987689669,0.729873865467187,0.0275366351808912,0.0496037148127018,0.032977443572436,0.00672392186347612,0.00470623226601137,0.00291381676923305,0.00176785040411095,0.000406919689679843,0.00805092049817009,0.00115012395289208,0.000364965144547152,0.000540558802677067,"USA",3.23869922604147
2012,707,0.00213727457354045,0.48202054747774,0.12011024017399,0.305998234806299,0.0193618849083427,0.0287350534211047,0.015910328195531,0.00877232229341578,0.00385989664393424,0.00115418555854612,0.00181858293615965,0.00295269658442253,0.0029754283207266,0.00201203141832007,0.00218129268792803,"USA",3.20255874509711
2013,979,0.000335812437446519,0.00604343663597867,0.778238527969114,0.0598872599571007,0.105637709398579,0.0084560911503501,0.012214556415582,0.0119235767900315,0.0046571336374474,0.00323708280674497,0.00172215623809612,0.000581510483735353,0.00117888095778957,0.00360853725209978,0.00227772786990454,"USA",3.54672067982706
2014,1048,0,0.0362742640912396,0.0398097044421972,0.694556977105983,0.0657419640456055,0.108635463415521,0.0107658955179602,0.0199883034219876,0.0120894117054309,0.0053264466395294,0.00146412275026791,0.000187168222497965,0.00074020063211808,0.00143213289451338,0.00298794511514818,"USA",4.44090803279082
2015,718,0.0413574213978301,0.0135826039166239,0.0800770139416464,0.0423989029402786,0.721235347213214,0.036660984352102,0.036116055744243,0.00633377508272299,0.00855964580670029,0.00864669776459788,0.0014326540416914,0.00117019754093505,0.000548008416071835,0,0.00188069184134263,"USA",4.83661435775248
2016,1249,0.00331838580327697,0.588026360125402,0.0180590732033514,0.0465582711374357,0.0205169027922536,0.269876520282298,0.01567916664181,0.0224793841974992,0.00641238075947428,0.00260698294166918,0.0030853917175265,0.002111234560909,0.000482891417083725,0.000517056295264967,0.000269998124744973,"USA",3.59183601424423
2017,1149,0.036345588727757,0.00792238397255786,0.446731944766341,0.0241920950142845,0.0413236324625178,0.0247245355501593,0.346158750279342,0.0258918695801738,0.0204865110576141,0.0117751244028283,0.00387829886729089,0.00616144153089823,0.00218732032034589,0.000793201218455206,0.00142730224943427,"USA",4.95404409966154
2018,929,0.0665248802199755,0.279104247933961,0.0168765186869463,0.307861642310737,0.0165040526885971,0.0258104282665112,0.0252900798820862,0.204100303231086,0.0276394632778745,0.0133161589776274,0.00611816374009292,0.00511465545654153,0.00323769894372964,0.00209767853818012,0.000404027846053645,"USA",4.5421357488475
